"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K2";;;
2;"Regulacion_Corriente1";"Potentiometer_ACP_CA9-H2,5_Horizontal";1;"500";;;
3;"Q1";"TO-126-3_Vertical";1;"BD137";;;
4;"C2,C1";"CP_Radial_D16.0mm_P7.50mm";2;"2200u";;;
5;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K8";;;
6;"Regulacion_Tension1";"Potentiometer_ACP_CA9-H2,5_Horizontal";1;"10k";;;
7;"Q2";"TO-247-3_Vertical";1;"TIP3055G";;;
8;"D3,D2,D1,D7,D4";"D_DO-201AD_P15.24mm_Horizontal";5;"1N5404";;;
9;"C3,C7,C4";"C_Disc_D3.4mm_W2.1mm_P2.50mm";3;"100n";;;
10;"D6";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
11;"HS1";"Heatsink_Fischer_SK104-STC-STIC_35x13mm_2xDrill2.5mm";1;"Heatsink_Pad";;;
12;"Ajuste_Iout_max1";"Potentiometer_Bourns_3266Y_Vertical";1;"500";;;
13;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"Ent. 15Vca";;;
14;"U1";"DIP-14_W7.62mm";1;"LM723_DIP14";;;
15;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1200";;;
16;"D5";"LED_D5.0mm";1;"LED";;;
17;"C6";"CP_Radial_D8.0mm_P3.50mm";1;"100u";;;
18;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"Vout";;;
19;"J4";"TerminalBlock_bornier-2_P5.08mm";1;"Amperimetro";;;
20;"C5";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"470p";;;
21;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470";;;
22;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k8";;;
23;"J2";"TerminalBlock_bornier-2_P5.08mm";1;"Vcc_Volt/Amper";;;
